Species,Estimated population,Fraction Population in PA1,Fraction Population in PA2,Fraction Population lost 2013,Fraction Population lost 2050 BAU,Fraction Population lost 2050 IGS,Fraction Population lost PA 2013,Fraction Population lost PA 2050 BAU,Fraction Population lost PA 2050 IGS,IUCN2013,IUCN2050BAU,IUCN2050IGS,,,,,last modified 02/07/2015
Ternstroemia dentata,54378472,0.087,0.419,0.126,0.509,0.255,0.001,0.195,0.047,,EN,,,,,,
Pradosia caracasana,54261840,0.096,0.479,0.015,0.012,0.005,0.000,0.003,0.000,,,,,,,,
Lacunaria crenata,54235029,0.104,0.372,0.187,0.502,0.280,0.008,0.167,0.040,,EN,,,,,,
Parinari campestris,54199666,0.097,0.270,0.054,0.253,0.143,0.001,0.095,0.027,,,,,,,,
Neea hermaphrodita,54171550,0.040,0.514,0.112,0.596,0.238,0.001,0.291,0.052,,EN,,,,,,
Psidium acutangulum,54165437,0.127,0.454,0.073,0.340,0.194,0.003,0.096,0.047,,VU,,,,,,
Inga acrocephala,54145419,0.189,0.383,0.049,0.212,0.120,0.001,0.083,0.029,,,,,,,,
Swartzia laurifolia,54060592,0.029,0.389,0.341,0.707,0.426,0.006,0.182,0.038,VU,EN,VU,,,,,
Buchenavia congesta,54014520,0.118,0.491,0.035,0.390,0.183,0.001,0.195,0.078,,VU,,,,,,
Rhodostemonodaphne grandis,53991551,0.097,0.489,0.062,0.427,0.172,0.001,0.219,0.055,,VU,,,,,,
Trichilia adolfi,53989854.23,0.169424806,0.455544581,0.035470331,0.248398086,0.135507574,0.000832221,0.060251649,0.033064105,,,,,,,,
Alchornea glandulosa,53938155,0.155,0.252,0.109,0.288,0.209,0.002,0.045,0.034,,,,,,,,
Aspidosperma discolor,53915334,0.007,0.280,0.342,0.674,0.403,0.005,0.042,0.009,VU,EN,VU,,,,,
Vochysia guianensis,53800057.3,0.093046365,0.263808855,0.308559557,0.638837668,0.425267729,0.013999145,0.135875948,0.035670406,VU,EN,VU,,,,,
Macoubea sprucei,53686946,0.063,0.333,0.077,0.242,0.172,0.003,0.080,0.054,,,,,,,,
Inga oerstediana,53644158,0.093,0.382,0.047,0.339,0.181,0.001,0.103,0.041,,VU,,,,,,
Lecythis chartacea,53612412,0.067,0.483,0.019,0.143,0.076,0.001,0.049,0.024,,,,,,,,
Guarea humaitensis,53571456,0.055,0.440,0.029,0.447,0.220,0.000,0.177,0.070,,VU,,,,,,
Sloanea terniflora,53495372,0.106,0.379,0.066,0.200,0.123,0.001,0.041,0.016,,,,,,,,
Swartzia corrugata,53473600,0.073,0.473,0.080,0.497,0.224,0.001,0.199,0.052,,VU,,,,,,
Tabebuia roseoalba,53437397,0.171,0.274,0.164,0.283,0.192,0.001,0.033,0.008,,,,,,,,
Protium poeppigianum,53388438,0.017,0.379,0.433,0.738,0.445,0.007,0.177,0.026,VU,EN,VU,,,,,
Inga gracilior,53374936,0.117,0.570,0.047,0.148,0.108,0.003,0.063,0.042,,,,,,,,
Manilkara cavalcantei,53317146,0.052,0.369,0.029,0.490,0.242,0.000,0.178,0.068,,VU,,,,,,
Ormosia excelsa,53089145,0.043,0.284,0.215,0.538,0.282,0.006,0.087,0.017,,EN,,,,,,
Miconia holosericea,53050502,0.137,0.323,0.168,0.360,0.233,0.002,0.062,0.024,,VU,,,,,,
Garcinia brasiliensis,53024103,0.124,0.349,0.090,0.318,0.166,0.002,0.106,0.027,,VU,,,,,,
Platymiscium pinnatum,52873464,0.137,0.364,0.071,0.230,0.142,0.001,0.054,0.019,,,,,,,,
Pouteria freitasii,52812031,0.049,0.429,0.053,0.507,0.249,0.000,0.182,0.064,,EN,,,,,,
Calyptranthes cuspidata,52799094,0.108,0.398,0.031,0.355,0.147,0.000,0.142,0.032,,VU,,,,,,
Apeiba schomburgkii,52745140,0.076,0.435,0.024,0.102,0.054,0.001,0.034,0.014,,,,,,,,
Rinorea flavescens,52718419,0.079,0.493,0.080,0.283,0.176,0.005,0.094,0.041,,,,,,,,
Pouteria ephedrantha,52684258,0.211,0.407,0.039,0.226,0.132,0.001,0.057,0.031,,,,,,,,
Talisia cerasina,52559473,0.076,0.405,0.084,0.431,0.264,0.001,0.131,0.053,,VU,,,,,,
Cecropia peltata,52485500,0.128,0.521,0.034,0.364,0.096,0.000,0.233,0.023,,VU,,,,,,
Inga cylindrica,52323678,0.117,0.332,0.082,0.324,0.181,0.001,0.083,0.021,,VU,,,,,,
Sorocea muriculata,52106998,0.124,0.495,0.041,0.272,0.134,0.002,0.106,0.049,,,,,,,,
Inga stipularis,52097480,0.083,0.475,0.091,0.465,0.201,0.003,0.207,0.045,,VU,,,,,,
Clathrotropis nitida,52037933,0.173,0.521,0.019,0.061,0.052,0.001,0.026,0.028,,,,,,,,
Tovomita obovata,51954492.19,0.101896591,0.254766298,0.084641269,0.274827402,0.181149587,0.003275035,0.07548525,0.027380879,,,,,,,,
Eugenia coffeifolia,51951789,0.195,0.469,0.036,0.398,0.075,0.001,0.273,0.021,,VU,,,,,,
Garcinia gardneriana,51942952,0.032,0.336,0.403,0.700,0.451,0.010,0.139,0.029,VU,EN,VU,,,,,
Trichilia pallida,51822722.75,0.137528574,0.315566601,0.07676327,0.31730337,0.191183946,0.001522885,0.097205119,0.038463572,,VU,,,,,,
Calyptranthes bipennis,51643715,0.044,0.412,0.254,0.623,0.381,0.008,0.192,0.075,,EN,VU,,,,,
Chimarrhis glabriflora,51636918,0.055,0.449,0.024,0.108,0.061,0.001,0.031,0.016,,,,,,,,
Erisma splendens,51492668,0.162,0.508,0.035,0.167,0.114,0.002,0.065,0.042,,,,,,,,
Iryanthera paradoxa,51417418,0.062,0.413,0.015,0.151,0.078,0.000,0.057,0.025,,,,,,,,
Elizabetha princeps,51351605,0.101,0.272,0.006,0.099,0.050,0.000,0.067,0.025,,,,,,,,
Eriotheca longipedicellata,51306517,0.067,0.512,0.218,0.688,0.279,0.003,0.310,0.028,,EN,,,,,,
Eschweilera chartaceifolia,51079110,0.171,0.387,0.031,0.158,0.092,0.001,0.063,0.029,,,,,,,,
Vatairea paraensis,51034715.18,0.124191978,0.434908033,0.0998888,0.433861997,0.208352744,0.001367101,0.182268685,0.042219465,,VU,,,,,,
Duroia eriopila,50893164,0.089,0.295,0.034,0.204,0.121,0.001,0.064,0.024,,,,,,,,
Inga cayennensis,50824932,0.091,0.439,0.111,0.350,0.200,0.002,0.089,0.034,,VU,,,,,,
Ephedranthus parviflorus,50701962,0.007,0.215,0.463,0.775,0.501,0.005,0.050,0.007,VU,EN,EN,,,,,
Diospyros vestita,50693690,0.041,0.373,0.245,0.574,0.305,0.004,0.169,0.026,,EN,VU,,,,,
Garcinia benthamiana,50681042,0.090,0.253,0.046,0.226,0.139,0.001,0.070,0.028,,,,,,,,
Perebea longepedunculata,50617302,0.109,0.403,0.061,0.178,0.109,0.002,0.051,0.031,,,,,,,,
Licania divaricata,50481538,0.077,0.135,0.024,0.155,0.113,0.001,0.026,0.016,,,,,,,,
Duroia genipoides,50462448,0.094,0.390,0.028,0.340,0.146,0.001,0.148,0.045,,VU,,,,,,
Hirtella lightioides,50448723,0.097,0.413,0.043,0.411,0.246,0.001,0.110,0.045,,VU,,,,,,
Eugenia tapacumensis,50366287,0.070,0.324,0.186,0.424,0.253,0.005,0.126,0.035,,VU,,,,,,
Annona hypoglauca,50316086,0.106,0.403,0.022,0.159,0.084,0.001,0.048,0.022,,,,,,,,
Endlicheria formosa,50285056,0.104,0.465,0.043,0.165,0.101,0.001,0.052,0.026,,,,,,,,
Hymenolobium pulcherrimum,50182612,0.072,0.451,0.098,0.377,0.182,0.002,0.124,0.037,,VU,,,,,,
Mouriri myrtifolia,50049935,0.079,0.447,0.080,0.270,0.171,0.002,0.061,0.032,,,,,,,,
Crudia oblonga,50030278,0.085,0.525,0.119,0.430,0.197,0.004,0.181,0.030,,VU,,,,,,
Iryanthera polyneura,50006263,0.120,0.465,0.027,0.164,0.095,0.001,0.054,0.030,,,,,,,,
Pentagonia parvifolia,50003244,0.171,0.437,0.040,0.190,0.108,0.001,0.054,0.030,,,,,,,,
Licania parviflora,49965101,0.103,0.447,0.064,0.427,0.168,0.000,0.172,0.025,,VU,,,,,,
Lueheopsis duckeana,49821035,0.057,0.310,0.351,0.718,0.437,0.008,0.157,0.037,VU,EN,VU,,,,,
Inga macrophylla,49817653,0.057,0.496,0.100,0.475,0.241,0.003,0.198,0.069,,VU,,,,,,
Pachira nervosa,49804494,0.080,0.351,0.071,0.409,0.183,0.001,0.126,0.033,,VU,,,,,,
Caryocar villosum,49664195,0.064,0.450,0.179,0.620,0.309,0.005,0.252,0.060,,EN,VU,,,,,
Ficus trigona,49645255,0.197,0.381,0.066,0.240,0.142,0.001,0.057,0.022,,,,,,,,
Swartzia argentea,49627785,0.104,0.413,0.013,0.110,0.056,0.001,0.046,0.023,,,,,,,,
Eriotheca macrophylla,49608029,0.110,0.389,0.048,0.153,0.095,0.001,0.043,0.026,,,,,,,,
Pouteria oblanceolata,49594606,0.073,0.361,0.170,0.450,0.306,0.010,0.105,0.051,,VU,VU,,,,,
Micropholis resinifera,49370875,0.030,0.631,0.068,0.568,0.258,0.001,0.324,0.128,,EN,,,,,,
Micropholis splendens,49368193,0.079,0.475,0.053,0.447,0.226,0.002,0.172,0.069,,VU,,,,,,
Vatairea sericea,49328872.7,0.064663164,0.503156189,0.087574358,0.597106283,0.26518615,0.001264057,0.275906084,0.079645508,,EN,,,,,,
Dicorynia paraensis,49250455,0.128,0.610,0.013,0.066,0.045,0.000,0.031,0.022,,,,,,,,
Ocotea floribunda,49246610,0.121,0.322,0.088,0.354,0.198,0.004,0.132,0.049,,VU,,,,,,
Albizia pedicellaris,49148489,0.119,0.349,0.157,0.417,0.244,0.005,0.137,0.039,,VU,,,,,,
Tachigali melinonii,49130988,0.105,0.286,0.032,0.214,0.120,0.001,0.075,0.028,,,,,,,,
Unonopsis rufescens,49048194.66,0.180161995,0.203120394,0.032302272,0.290198314,0.147981432,0.000681887,0.120010877,0.027059145,,,,,,,,
Vochysia floribunda,48921186.43,0.019215994,0.617845036,0.055797099,0.60502441,0.193308343,0.000710677,0.357545325,0.064587923,,EN,,,,,,
Ephedranthus amazonicus,48823566,0.078,0.531,0.038,0.445,0.186,0.000,0.200,0.051,,VU,,,,,,
Batocarpus orinocensis,48757403,0.134,0.288,0.078,0.254,0.165,0.002,0.045,0.027,,,,,,,,
Ilex vismiifolia,48754874,0.064,0.342,0.077,0.176,0.136,0.004,0.057,0.045,,,,,,,,
Heisteria nitida,48630106,0.141,0.385,0.060,0.159,0.107,0.001,0.038,0.022,,,,,,,,
Bauhinia brachycalyx,48598854,0.093,0.393,0.048,0.181,0.117,0.001,0.036,0.019,,,,,,,,
Coussarea hirticalyx,48366189,0.086,0.434,0.116,0.297,0.176,0.003,0.089,0.038,,,,,,,,
Hirtella rodriguesii,48307725,0.064,0.458,0.083,0.409,0.215,0.001,0.153,0.054,,VU,,,,,,
Chomelia tenuiflora,48221757,0.112,0.445,0.044,0.189,0.103,0.002,0.066,0.029,,,,,,,,
Ptychopetalum olacoides,48107099,0.098,0.414,0.083,0.508,0.250,0.003,0.219,0.068,,EN,,,,,,
Cespedesia spathulata,47852850,0.109,0.394,0.051,0.176,0.116,0.002,0.049,0.029,,,,,,,,
Byrsonima densa,47771992,0.069,0.363,0.275,0.614,0.377,0.019,0.183,0.050,,EN,VU,,,,,
Tovomita grata,47707934.75,0.041471805,0.212170623,0.036278056,0.146334387,0.101516756,0.000632033,0.033464548,0.020122673,,,,,,,,
Guatteria umbonata,47668784,0.027,0.598,0.081,0.580,0.264,0.001,0.306,0.115,,EN,,,,,,
Matayba elegans,47640729,0.113,0.408,0.056,0.145,0.082,0.001,0.029,0.017,,,,,,,,
Couratari oligantha,47616789,0.089,0.468,0.032,0.121,0.076,0.001,0.040,0.026,,,,,,,,
Chimarrhis barbata,47583317,0.058,0.440,0.022,0.246,0.117,0.000,0.084,0.028,,,,,,,,
Pachira flaviflora,47577712,0.080,0.143,0.025,0.169,0.123,0.000,0.027,0.014,,,,,,,,
Heisteria densifrons,47560416,0.087,0.490,0.021,0.214,0.095,0.000,0.084,0.023,,,,,,,,
Oxandra sphaerocarpa,47549829,0.105,0.467,0.051,0.182,0.109,0.003,0.068,0.039,,,,,,,,
Xylopia emarginata,47527022.36,0.071329111,0.321548461,0.197294004,0.504107858,0.271029528,0.002422501,0.094458162,0.015953384,,EN,,,,,,
Oxandra espintana,47425586,0.185,0.348,0.039,0.283,0.151,0.001,0.072,0.036,,,,,,,,
Pouteria bangii,47394942,0.117,0.415,0.079,0.327,0.190,0.002,0.115,0.050,,VU,,,,,,
Compsoneura sprucei,47387453,0.079,0.462,0.026,0.132,0.082,0.001,0.036,0.021,,,,,,,,
Pouteria manaosensis,47383683,0.038,0.493,0.159,0.469,0.264,0.003,0.154,0.048,,VU,,,,,,
Couroupita guianensis,47360472,0.118,0.312,0.090,0.235,0.146,0.003,0.056,0.030,,,,,,,,
Pouteria rostrata,47155331,0.078,0.487,0.055,0.319,0.160,0.001,0.130,0.044,,VU,,,,,,
Cupania cinerea,47089010,0.140,0.342,0.103,0.221,0.145,0.001,0.036,0.015,,,,,,,,
Bathysa bathysoides,47048725,0.121,0.380,0.045,0.137,0.115,0.003,0.030,0.025,,,,,,,,
Vochysia obscura,46999807.63,0.091742253,0.472638794,0.042121366,0.22378931,0.136776494,0.00194836,0.091209377,0.043131694,,,,,,,,
Spiranthera guianensis,46886773,0.018,0.134,0.665,0.861,0.715,0.017,0.040,0.030,EN,CR,EN,,,,,
Crudia aromatica,46497371,0.132,0.262,0.008,0.164,0.084,0.000,0.093,0.030,,,,,,,,
Etaballia dubia,46476631,0.066,0.365,0.082,0.327,0.140,0.001,0.090,0.007,,VU,,,,,,
Talisia angustifolia,46331558,0.162,0.331,0.206,0.436,0.263,0.002,0.098,0.027,,VU,,,,,,
Wettinia maynensis,46285466.4,0.145483819,0.169756593,0.128966124,0.324596346,0.265632757,0.001657423,0.032386598,0.026853995,,VU,,,,,,
Licania harlingii,46193092,0.117,0.369,0.052,0.135,0.104,0.001,0.031,0.023,,,,,,,,
Pouteria minima,46172347,0.067,0.463,0.098,0.514,0.260,0.001,0.198,0.058,,EN,,,,,,
Xylopia barbata,46150764.46,0.137904734,0.423697749,0.039135103,0.372468161,0.150130772,2.87781E-05,0.146566074,0.021155957,,VU,,,,,,
Couepia macrophylla,46123246,0.040,0.504,0.017,0.115,0.054,0.000,0.036,0.015,,,,,,,,
Pouteria lucumifolia,46001479,0.131,0.398,0.063,0.174,0.125,0.005,0.064,0.050,,,,,,,,
Siparuna cuspidata,45957268,0.114,0.355,0.107,0.400,0.239,0.002,0.121,0.049,,VU,,,,,,
Guatteria foliosa,45864792,0.070,0.434,0.143,0.489,0.252,0.001,0.139,0.042,,VU,,,,,,
Licania blackii,45812694,0.026,0.344,0.198,0.465,0.281,0.004,0.066,0.023,,VU,,,,,,
Andira trifoliolata,45805882,0.105,0.510,0.038,0.342,0.141,0.001,0.156,0.041,,VU,,,,,,
Enterolobium maximum,45785397,0.041,0.368,0.327,0.685,0.424,0.012,0.189,0.054,VU,EN,VU,,,,,
Myroxylon balsamum,45683804,0.125,0.334,0.075,0.322,0.191,0.001,0.081,0.030,,VU,,,,,,
Duroia saccifera,45673145,0.095,0.495,0.043,0.308,0.150,0.001,0.129,0.048,,VU,,,,,,
Marmaroxylon basijugum,45527572,0.094,0.485,0.026,0.191,0.079,0.000,0.105,0.028,,,,,,,,
Crudia bracteata,45377841,0.116,0.123,0.037,0.271,0.179,0.001,0.053,0.014,,,,,,,,
Aniba citrifolia,44978309,0.080,0.425,0.101,0.450,0.211,0.002,0.189,0.051,,VU,,,,,,
Inga chartacea,44884312,0.155,0.442,0.049,0.290,0.157,0.001,0.106,0.046,,,,,,,,
Mabea paniculata,44775341,0.014,0.241,0.398,0.737,0.424,0.010,0.054,0.009,VU,EN,VU,,,,,
Emmotum nitens,44664431,0.097,0.313,0.211,0.485,0.295,0.004,0.070,0.024,,VU,,,,,,
Croton tessmannii,44432583,0.138,0.408,0.076,0.277,0.182,0.003,0.073,0.046,,,,,,,,
Nectandra pulverulenta,44374414,0.118,0.326,0.202,0.498,0.295,0.003,0.102,0.031,,VU,,,,,,
Sterculia kayae,44359782,0.112,0.525,0.012,0.107,0.047,0.000,0.062,0.019,,,,,,,,
Dipteryx magnifica,44345999,0.066,0.513,0.039,0.348,0.164,0.001,0.148,0.054,,VU,,,,,,
Sloanea rufa,44311965,0.071,0.484,0.072,0.368,0.173,0.002,0.157,0.044,,VU,,,,,,
Caryocar pallidum,44015309,0.094,0.560,0.035,0.274,0.142,0.001,0.118,0.050,,,,,,,,
Aniba williamsii,43984648,0.084,0.473,0.067,0.401,0.210,0.002,0.163,0.054,,VU,,,,,,
Luehea candicans,43983342,0.159,0.292,0.181,0.299,0.203,0.001,0.033,0.006,,,,,,,,
Parahancornia fasciculata,43979052,0.090,0.367,0.138,0.405,0.221,0.007,0.143,0.031,,VU,,,,,,
Leonia cymosa,43953721,0.078,0.557,0.046,0.275,0.141,0.001,0.118,0.044,,,,,,,,
Parinari klugii,43945066,0.128,0.317,0.048,0.145,0.100,0.001,0.028,0.022,,,,,,,,
Eugenia ramiflora,43877365,0.030,0.509,0.235,0.668,0.352,0.006,0.269,0.074,,EN,VU,,,,,
Hevea benthamiana,43829432,0.121,0.523,0.030,0.256,0.156,0.001,0.090,0.049,,,,,,,,
Cariniana domestica,43801452,0.050,0.237,0.279,0.705,0.332,0.000,0.102,0.013,,EN,VU,,,,,
Heisteria laxiflora,43739512,0.077,0.414,0.065,0.516,0.268,0.001,0.157,0.045,,EN,,,,,,
Annona papilionella,43709507,0.173,0.297,0.060,0.232,0.145,0.001,0.050,0.025,,,,,,,,
Huberodendron swietenioides,43704895,0.111,0.399,0.130,0.501,0.243,0.002,0.182,0.049,,EN,,,,,,
Aniba puchury-minor,43640909,0.148,0.443,0.057,0.254,0.133,0.002,0.107,0.034,,,,,,,,
Macoubea guianensis,43637761,0.187,0.399,0.053,0.169,0.099,0.003,0.072,0.025,,,,,,,,
Cassipourea guianensis,43522092,0.094,0.283,0.187,0.481,0.280,0.003,0.147,0.035,,VU,,,,,,
Ophiocaryon heterophyllum,43518897,0.080,0.468,0.038,0.138,0.090,0.002,0.050,0.030,,,,,,,,
Vatairea macrocarpa,43473148.45,0.093725613,0.408476403,0.19366523,0.600790954,0.31112095,0.002583053,0.212700839,0.050071499,,EN,VU,,,,,
Neocouma ternstroemiacea,43394246,0.114,0.601,0.034,0.219,0.127,0.002,0.109,0.057,,,,,,,,
Batocarpus costaricensis,43314902,0.127,0.397,0.047,0.334,0.189,0.001,0.082,0.040,,VU,,,,,,
Buchenavia suaveolens,43267859,0.151,0.419,0.039,0.374,0.150,0.000,0.147,0.021,,VU,,,,,,
Pouteria retinervis,43244254,0.052,0.484,0.081,0.539,0.263,0.003,0.214,0.068,,EN,,,,,,
Cathedra acuminata,43227995,0.065,0.437,0.135,0.395,0.195,0.003,0.127,0.031,,VU,,,,,,
Caraipa richardiana,43174981,0.021,0.496,0.227,0.650,0.291,0.004,0.259,0.028,,EN,,,,,,
Bixa urucurana,43129369,0.101,0.327,0.076,0.269,0.169,0.001,0.068,0.029,,,,,,,,
Astronium obliquum,43085281,0.081,0.324,0.090,0.315,0.182,0.001,0.077,0.024,,VU,,,,,,
Protium morii,42999959,0.438,0.318,0.005,0.255,0.035,0.000,0.231,0.018,,,,,,,,
Buchenavia amazonia,42939412,0.116,0.419,0.050,0.159,0.105,0.002,0.046,0.029,,,,,,,,
Caraipa savannarum,42933676,0.150,0.422,0.038,0.374,0.149,0.000,0.148,0.021,,VU,,,,,,
Zamia ulei,42923746.48,0.02681443,0.184015899,0.389055699,0.778744563,0.465011877,0,0.085859385,0.014689141,VU,EN,VU,,,,,
Gustavia elliptica,42886771,0.042,0.512,0.044,0.554,0.241,0.001,0.247,0.067,,EN,,,,,,
Pagamea guianensis,42883774,0.069,0.369,0.224,0.453,0.267,0.005,0.055,0.018,,VU,,,,,,
Iryanthera coriacea,42854921,0.073,0.547,0.012,0.186,0.063,0.000,0.063,0.017,,,,,,,,
Casearia ulmifolia,42843556,0.086,0.448,0.050,0.243,0.116,0.001,0.090,0.023,,,,,,,,
Pseudobombax marginatum,42827509,0.169,0.288,0.132,0.246,0.167,0.001,0.040,0.015,,,,,,,,
Miconia dispar,42823866,0.044,0.337,0.233,0.549,0.322,0.007,0.088,0.029,,EN,VU,,,,,
Rinorea paniculata,42820521,0.085,0.624,0.028,0.277,0.101,0.000,0.157,0.036,,,,,,,,
Aniba hostmanniana,42811121,0.107,0.342,0.068,0.328,0.194,0.001,0.085,0.034,,VU,,,,,,
Byrsonima crispa,42690233,0.056,0.369,0.180,0.597,0.298,0.004,0.172,0.039,,EN,,,,,,
Allophylus scrobiculatus,42655902,0.256,0.413,0.031,0.229,0.126,0.001,0.069,0.030,,,,,,,,
Chelyocarpus chuco,42587170,0.021,0.316,0.113,0.399,0.228,0.002,0.084,0.025,,VU,,,,,,
Chrysophyllum bombycinum,42461965,0.092,0.517,0.043,0.136,0.093,0.002,0.049,0.031,,,,,,,,
Pouteria opposita,42265795,0.052,0.477,0.082,0.554,0.263,0.002,0.212,0.072,,EN,,,,,,
Licania licaniiflora,42228164,0.050,0.445,0.080,0.321,0.151,0.002,0.109,0.028,,VU,,,,,,
Hymenolobium excelsum,42168613,0.075,0.463,0.126,0.537,0.240,0.002,0.216,0.045,,EN,,,,,,
Elvasia canescens,42147687,0.150,0.421,0.039,0.375,0.150,0.000,0.148,0.021,,VU,,,,,,
Myracrodruon urundeuva,42109861,0.130,0.250,0.194,0.442,0.299,0.001,0.058,0.011,,VU,,,,,,
Croton palanostigma,42090110,0.089,0.513,0.049,0.342,0.194,0.000,0.142,0.050,,VU,,,,,,
Abarema adenophora,41898740,0.059,0.454,0.040,0.340,0.178,0.001,0.133,0.053,,VU,,,,,,
Inga leiocalycina,41889726,0.180,0.308,0.070,0.318,0.182,0.004,0.119,0.037,,VU,,,,,,
Persea caerulea,41885420,0.166,0.303,0.095,0.192,0.132,0.001,0.047,0.024,,,,,,,,
Duguetia odorata,41787635,0.106,0.433,0.046,0.346,0.227,0.001,0.093,0.043,,VU,,,,,,
Couepia racemosa,41774467,0.068,0.448,0.012,0.086,0.049,0.000,0.023,0.009,,,,,,,,
Couepia bernardii,41652270,0.084,0.484,0.048,0.185,0.108,0.003,0.069,0.037,,,,,,,,
Licania stewardii,41500962,0.144,0.424,0.039,0.378,0.151,0.000,0.149,0.021,,VU,,,,,,
Socratea salazarii,41498488,0.167,0.460,0.049,0.154,0.100,0.001,0.048,0.031,,,,,,,,
Guatteria decurrens,41389820,0.123,0.427,0.044,0.125,0.093,0.002,0.039,0.032,,,,,,,,
Bagassa guianensis,41267677,0.074,0.296,0.369,0.698,0.421,0.008,0.156,0.029,VU,EN,VU,,,,,
Nectandra cissiflora,41153831,0.116,0.336,0.129,0.264,0.172,0.002,0.043,0.020,,,,,,,,
Couratari tenuicarpa,40856056,0.105,0.381,0.032,0.347,0.130,0.000,0.113,0.017,,VU,,,,,,
Stryphnodendron racemiferum,40768680,0.040,0.558,0.031,0.466,0.194,0.000,0.232,0.065,,VU,,,,,,
Couepia obovata,40739018,0.079,0.361,0.042,0.141,0.077,0.001,0.037,0.020,,,,,,,,
Tovomita umbellata,40543037.66,0.080118464,0.351366696,0.063439966,0.286037207,0.146905359,0.002397192,0.090027444,0.029796786,,,,,,,,
Discophora guianensis,40441319,0.118,0.371,0.095,0.332,0.206,0.002,0.107,0.045,,VU,,,,,,
Mouriri collocarpa,40428937,0.046,0.427,0.215,0.597,0.355,0.005,0.184,0.062,,EN,VU,,,,,
Aiouea grandifolia,40400672,0.106,0.418,0.128,0.501,0.258,0.001,0.195,0.053,,EN,,,,,,
Tetrastylidium peruvianum,40387399,0.074,0.488,0.031,0.118,0.071,0.001,0.045,0.027,,,,,,,,
Byrsonima incarnata,40349288,0.070,0.402,0.024,0.167,0.088,0.000,0.050,0.013,,,,,,,,
Discocarpus spruceanus,40317927,0.092,0.467,0.029,0.169,0.073,0.001,0.061,0.016,,,,,,,,
Duguetia lucida,40290073,0.114,0.522,0.022,0.123,0.041,0.000,0.052,0.009,,,,,,,,
Trichilia surinamensis,40267191.62,0.112822825,0.384355366,0.061341008,0.417168372,0.157186693,0.003256461,0.225711878,0.045107185,,VU,,,,,,
Hirtella elongata,40266714,0.141,0.313,0.104,0.249,0.188,0.003,0.044,0.035,,,,,,,,
Heliocarpus americanus,40238908,0.129,0.253,0.224,0.397,0.251,0.001,0.047,0.010,,VU,,,,,,
Bowdichia nitida,40178226,0.055,0.370,0.135,0.629,0.309,0.003,0.237,0.048,,EN,VU,,,,,
Guarea convergens,40110248,0.056,0.530,0.024,0.338,0.157,0.000,0.147,0.051,,VU,,,,,,
Ficus gomelleira,40038752,0.114,0.370,0.134,0.382,0.227,0.003,0.100,0.035,,VU,,,,,,
Peltogyne venosa,39980012,0.061,0.470,0.082,0.525,0.230,0.001,0.259,0.069,,EN,,,,,,
Miconia mirabilis,39937477,0.043,0.312,0.268,0.486,0.322,0.008,0.107,0.028,,VU,VU,,,,,
Couroupita subsessilis,39933536,0.041,0.349,0.014,0.283,0.113,0.000,0.073,0.027,,,,,,,,
Naucleopsis oblongifolia,39930868,0.113,0.430,0.036,0.144,0.083,0.001,0.044,0.022,,,,,,,,
Stryphnodendron paniculatum,39886370,0.064,0.350,0.300,0.642,0.412,0.019,0.163,0.054,,EN,VU,,,,,
Eugenia feijoi,39843371,0.069,0.429,0.066,0.299,0.170,0.002,0.101,0.038,,,,,,,,
Dialium guineense,39803088,0.007,0.685,0.195,0.459,0.177,0.001,0.175,0.009,,VU,,,,,,
Dussia tessmannii,39722567,0.083,0.389,0.116,0.286,0.173,0.001,0.054,0.023,,,,,,,,
Andira surinamensis,39696396,0.105,0.408,0.071,0.230,0.134,0.002,0.065,0.026,,,,,,,,
Ternstroemia candolleana,39691138,0.013,0.247,0.398,0.727,0.424,0.009,0.053,0.008,VU,EN,VU,,,,,
Vitex compressa,39504731.23,0.089609081,0.463412697,0.014446306,0.014834332,0.007248653,0.000106829,0.004770512,0.001669974,,,,,,,,
Duguetia uniflora,39373319,0.155,0.396,0.017,0.340,0.124,0.000,0.149,0.029,,VU,,,,,,
Byrsonima stipulacea,39356246,0.034,0.404,0.122,0.470,0.233,0.002,0.156,0.044,,VU,,,,,,
Protium giganteum,39263051,0.055,0.436,0.133,0.465,0.248,0.004,0.178,0.055,,VU,,,,,,
Humiriastrum excelsum,39242192,0.108,0.406,0.104,0.199,0.150,0.006,0.041,0.027,,,,,,,,
Helicostylis elegans,39186724,0.131,0.418,0.043,0.164,0.094,0.002,0.049,0.028,,,,,,,,
Endlicheria paniculata,39179771,0.046,0.293,0.384,0.626,0.429,0.005,0.106,0.020,VU,EN,VU,,,,,
Esenbeckia amazonica,38973091,0.088,0.300,0.026,0.201,0.138,0.000,0.016,0.008,,,,,,,,
Chrysophyllum manaosense,38858868,0.067,0.435,0.066,0.452,0.220,0.001,0.185,0.060,,VU,,,,,,
Alibertia verrucosa,38693717,0.160,0.283,0.216,0.373,0.242,0.001,0.045,0.009,,VU,,,,,,
Pagamea plicata,38501371,0.187,0.471,0.020,0.101,0.047,0.000,0.033,0.016,,,,,,,,
Guatteria blepharophylla,38487095,0.087,0.361,0.155,0.497,0.273,0.002,0.104,0.035,,VU,,,,,,
Endlicheria sericea,38347729,0.065,0.481,0.068,0.387,0.158,0.002,0.189,0.043,,VU,,,,,,
Aniba burchellii,38268496,0.070,0.534,0.061,0.536,0.211,0.001,0.273,0.052,,EN,,,,,,
